feature,Cristiano CV_sens95,Cristiano CV_sens85,"Cristiano train, LY test_sens95","Cristiano train, LY test_sens85","Cristiano train, GS test_sens95","Cristiano train, GS test_sens85"
EDM,0.9155,0.9577,0.0,0.0,0.0,0.0
ocEDM,0.8216,0.9437,0.0,0.0,0.0,0.1053
IFS,0.8404,0.9202,0.5417,0.6667,0.0,0.4737
Ends,0.8685,0.9202,0.5833,0.875,0.0,0.4737
WPS,0.8592,0.9202,0.75,0.875,0.0,0.3158
PFE,0.8404,0.8873,0.5833,0.8333,0.1053,0.3684
Coverage,0.8498,0.9108,0.7083,0.7917,0.0,0.4737
eEDM,0.7793,0.892,0.0,0.0,0.0,0.0
iEDM,0.7324,0.8545,0.125,0.4167,0.0526,0.2105
OCF,0.7183,0.8216,0.375,0.5833,0.0526,0.1579
Length,0.6432,0.784,0.0417,0.2917,0.1053,0.1579
FSD,0.6338,0.7793,0.0,0.0,0.0,0.0
FSR,0.6244,0.7324,,,,
eoEDM,0.5164,0.7277,0.0,0.0,0.0,0.0
