feature,PreveLynch models (1×10 CV)_sens95,PreveLynch models (1×10 CV)_sens85,"PreveLynch trained models, PreveLynch test_sens95","PreveLynch trained models, PreveLynch test_sens85","PreveLynch trained models, GenoScan test_sens95","PreveLynch trained models, GenoScan test_sens85"
iEDM,0.881,0.9643,0.875,0.9167,0.0526,0.2105
ocEDM,0.8929,0.9286,0.9167,0.9583,0.0,0.1053
eEDM,0.8333,0.9286,0.9167,0.9583,0.0,0.0
WPS,0.881,0.9405,0.9583,0.9583,0.0,0.3158
eoEDM,0.8333,0.9167,0.9167,0.9583,0.0,0.0
EDM,0.8452,0.9167,0.875,1.0,0.0,0.0
IFS,0.7857,0.881,0.625,0.75,0.0,0.4737
Ends,0.8214,0.881,0.8333,0.9167,0.0,0.4737
FSD,0.8333,0.8929,0.875,0.875,0.0,0.0
Length,0.7619,0.881,0.7917,0.875,0.1053,0.1579
Coverage,0.631,0.7619,0.75,0.8333,0.0,0.4737
FSR,0.5833,0.6905,0.7917,0.8333,0.0,0.4737
PFE,0.4286,0.6667,0.8333,0.8333,0.1053,0.3684
OCF,0.381,0.5714,0.2083,0.3333,0.0526,0.1579
